time_ns,rec_rmsd_A,pep_rmsd_A,tyr2_kink_dist_A,drift_A
0.000,0.007,0.000,0.000,70.658
0.020,0.829,0.334,0.000,70.558
0.041,0.998,0.420,0.000,70.146
0.061,1.166,0.834,0.000,70.075
0.082,1.032,1.184,0.000,68.861
0.102,1.286,1.013,0.000,68.923
0.122,1.183,0.868,0.000,68.955
0.143,1.441,1.018,0.000,68.763
0.163,1.396,1.026,0.000,68.622
0.184,1.551,0.745,0.000,68.434
0.204,1.673,0.889,0.000,67.967
0.224,1.785,0.957,0.000,68.314
0.245,1.869,1.066,0.000,68.328
0.265,1.898,1.045,0.000,68.144
0.286,1.910,1.087,0.000,68.543
0.306,2.183,1.173,0.000,68.600
0.327,2.113,1.247,0.000,68.340
0.347,1.878,1.454,0.000,68.241
0.367,1.981,1.532,0.000,68.484
0.388,1.948,1.392,0.000,68.160
0.408,1.841,1.525,0.000,68.552
0.429,1.952,1.634,0.000,68.508
0.449,1.838,1.878,0.000,68.708
0.469,1.750,1.538,0.000,68.538
0.490,1.843,0.833,0.000,68.481
0.510,1.823,1.212,0.000,68.462
0.531,1.729,0.996,0.000,68.020
0.551,1.756,0.984,0.000,67.730
0.571,1.669,1.061,0.000,67.146
0.592,1.912,1.222,0.000,67.704
0.612,1.939,1.418,0.000,67.286
0.633,1.978,1.500,0.000,67.928
0.653,1.901,1.625,0.000,68.448
0.673,1.931,1.674,0.000,67.932
0.694,1.917,1.500,0.000,68.375
0.714,1.856,1.448,0.000,68.173
0.735,1.897,1.577,0.000,68.186
0.755,1.677,1.363,0.000,68.601
0.776,1.881,1.660,0.000,68.213
0.796,1.955,1.426,0.000,68.318
0.816,1.953,1.346,0.000,67.967
0.837,2.186,1.599,0.000,68.180
0.857,2.261,1.342,0.000,67.893
0.878,2.315,1.751,0.000,67.799
0.898,2.109,1.577,0.000,67.654
0.918,2.151,1.425,0.000,67.972
0.939,2.422,1.451,0.000,67.850
0.959,2.276,1.369,0.000,68.146
0.980,2.263,1.246,0.000,68.689
1.000,2.233,1.486,0.000,68.554
