time_ns,rec_rmsd_A,pep_rmsd_A,tyr2_kink_dist_A,drift_A
0.000,0.000,0.000,0.000,70.777
0.021,0.843,0.446,0.000,70.546
0.042,0.934,0.423,0.000,70.350
0.062,1.228,0.303,0.000,70.391
0.083,1.175,0.584,0.000,70.824
0.104,1.060,0.392,0.000,70.805
0.125,1.121,0.474,0.000,70.939
0.146,1.299,0.431,0.000,70.987
0.167,1.348,0.534,0.000,71.039
0.188,1.404,0.702,0.000,71.506
0.208,1.471,0.340,0.000,70.630
0.229,1.378,0.425,0.000,70.584
0.250,1.378,0.424,0.000,70.564
0.271,1.332,0.460,0.000,70.558
0.292,1.293,0.419,0.000,71.165
0.312,1.356,0.431,0.000,71.041
0.333,1.499,0.555,0.000,71.339
0.354,1.315,0.487,0.000,70.713
0.375,1.369,0.479,0.000,70.945
0.396,1.541,0.364,0.000,70.695
0.417,1.529,0.378,0.000,70.417
0.438,1.603,0.437,0.000,70.908
0.458,1.479,0.440,0.000,70.820
0.479,1.484,0.442,0.000,70.780
0.500,1.419,0.544,0.000,70.952
