entry_id,name,series,ec50_nM,docking_score,distance_to_lactate_A,region,contacts_arg71,contacts_glu153,mode_class,mechanistic_role
c01,Davidsson 2020 compound 1,acyl_urea,23.0,-5.283,9.6,MIXED,False,True,Allosteric (TM5-TM6 Crevice / ago-PAM),Vestibular crevice binder; aligns with HCAR2 9n site
c02,Davidsson 2020 compound 2,acyl_urea,74.0,-4.097,9.44,TM56_EXTRACELLULAR,False,True,Allosteric (TM5-TM6 Crevice / ago-PAM),Vestibular crevice binder; aligns with HCAR2 9n site
c03,Davidsson 2020 compound 3,acyl_urea,3.7,-5.13,11.89,TM56_EXTRACELLULAR,False,True,Allosteric (TM5-TM6 Crevice / ago-PAM),Vestibular crevice binder; aligns with HCAR2 9n site
c04,Davidsson 2020 compound 4,acyl_urea,1.4,-2.985,10.94,TM56_EXTRACELLULAR,False,True,Allosteric (TM5-TM6 Crevice / ago-PAM),Vestibular crevice binder; aligns with HCAR2 9n site
c05,Davidsson 2020 compound 5,acyl_urea,0.74,-5.602,8.93,ORTHO_POCKET,False,True,Allosteric (TM5-TM6 Crevice / ago-PAM),Vestibular crevice binder; aligns with HCAR2 9n site
c06,Davidsson 2020 compound 6,acyl_urea,6.1000000000000005,-4.443,10.38,TM56_EXTRACELLULAR,False,True,Allosteric (TM5-TM6 Crevice / ago-PAM),Vestibular crevice binder; aligns with HCAR2 9n site
c07,Davidsson 2020 compound 7,acyl_urea,3.6,-8.46,12.23,TM56_EXTRACELLULAR,False,True,Allosteric (TM5-TM6 Crevice / ago-PAM),Vestibular crevice binder; aligns with HCAR2 9n site
c08,Davidsson 2020 compound 8,acyl_urea,7.0,-6.343,9.44,TM56_EXTRACELLULAR,False,True,Allosteric (TM5-TM6 Crevice / ago-PAM),Vestibular crevice binder; aligns with HCAR2 9n site
c09,Davidsson 2020 compound 9,acyl_urea,32.0,-4.804,10.63,TM56_EXTRACELLULAR,False,True,Allosteric (TM5-TM6 Crevice / ago-PAM),Vestibular crevice binder; aligns with HCAR2 9n site
c10,Davidsson 2020 compound 10,acyl_urea,13.0,-6.687,11.87,TM56_EXTRACELLULAR,False,True,Allosteric (TM5-TM6 Crevice / ago-PAM),Vestibular crevice binder; aligns with HCAR2 9n site
