entry_id,name,series,smiles,chembl_id,status,ec50_uM,ec50_nM,emax_pct,ec50_source,gpr109a_fold,ghsr_fold,lle,sol_uM,potency_rank,tier,tier_basis,dock_8Z8A_best,dock_8Z8A_protocol,region_8Z8A,dock_9KT9_best,region_9KT9,dock_support
c01,Davidsson 2020 compound 1,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc1-n1cccn1,CHEMBL4641579,authoritative,0.023,23.0,,"paper Table (transcribed, phase1-2 recovery)",5.3,0.3,4.6,0.2,13,B,EC50 23 nM <= 50; GPR109A 5.3x; GHSR 0.3x,-5.283,phase6 2-seed x ex16 x 5poses,MIXED,-2.802,ORTHO_POCKET,"negative score, region MIXED"
c02,Davidsson 2020 compound 2,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,CHEMBL4632411,authoritative,0.074,74.0,,"paper Table (transcribed, phase1-2 recovery)",29,1.3,4.2,4,18,B,EC50 74 nM <= 100; GPR109A 29x; GHSR 1.3x,-4.097,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,1.506,ORTHO_POCKET,"negative score, region TM56_EXTRACELLULAR"
c03,Davidsson 2020 compound 3,acyl_urea,CCOc1cc(C)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,,reconstructed_and_MS_validated,0.0037,3.7,,"paper Table (transcribed, phase1-2 recovery)",,,,,4,A,EC50 3.7 nM <= 50; no selectivity data,-5.13,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-4.589,TM56_EXTRACELLULAR,"negative score, region TM56_EXTRACELLULAR"
c04,Davidsson 2020 compound 4,acyl_urea,CCOc1cc(C(F)(F)F)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,,reconstructed_and_MS_validated,0.0014,1.4,,"paper Table (transcribed, phase1-2 recovery)",,,,,2,A,EC50 1.4 nM <= 50; no selectivity data,-2.985,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,1.499,ORTHO_POCKET,"negative score, region TM56_EXTRACELLULAR"
c05,Davidsson 2020 compound 5,acyl_urea,CCOc1cc(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc(N2CCOCC2)c1,,reconstructed_and_MS_validated,0.00074,0.74,47,"paper Table (transcribed, phase1-2 recovery)",,,,,1,B,EC50 0.74 nM <= 50; partial agonist (Emax 47%); no selectivity data,-5.602,phase6 2-seed x ex16 x 5poses,ORTHO_POCKET,-4.357,ORTHO_POCKET,"negative score, region ORTHO_POCKET"
c06,Davidsson 2020 compound 6,acyl_urea,Cc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc1-n1cccn1,,reconstructed_and_MS_validated,0.0061,6.1000000000000005,70,"paper Table (transcribed, phase1-2 recovery)",,,,,6,B,EC50 6.1 nM <= 50; partial agonist (Emax 70%); no selectivity data,-4.443,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-0.327,TM56_EXTRACELLULAR,"negative score, region TM56_EXTRACELLULAR"
c07,Davidsson 2020 compound 7,acyl_urea,FC1=CC(Cl)=C(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)C=C1-n1cccn1,,reconstructed_and_MS_validated,0.0036,3.6,70,"paper Table (transcribed, phase1-2 recovery)",,,,,3,B,EC50 3.6 nM <= 50; partial agonist (Emax 70%); no selectivity data,-8.46,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-3.883,ORTHO_POCKET,"negative score, region TM56_EXTRACELLULAR"
c08,Davidsson 2020 compound 8,acyl_urea,Clc1cc(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc(-n2cccn2)c1,,reconstructed_and_MS_validated,0.007,7.0,74,"paper Table (transcribed, phase1-2 recovery)",,,,,7,B,EC50 7 nM <= 50; partial agonist (Emax 74%); no selectivity data,-6.343,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,2.834,ORTHO_POCKET,"negative score, region TM56_EXTRACELLULAR"
c09,Davidsson 2020 compound 9,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOC(C)C1,,reconstructed_and_MS_validated,0.032,32.0,,"paper Table (transcribed, phase1-2 recovery)",,,,,15,A,EC50 32 nM <= 50; no selectivity data,-4.804,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-0.473,ORTHO_POCKET,"negative score, region TM56_EXTRACELLULAR"
c10,Davidsson 2020 compound 10,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCCC1,,reconstructed_and_MS_validated,0.013,13.0,,"paper Table (transcribed, phase1-2 recovery)",,,,,8,A,EC50 13 nM <= 50; no selectivity data,-6.687,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-5.974,TM56_EXTRACELLULAR,"negative score, region TM56_EXTRACELLULAR"
