paper_compound,series,source_table,structure_status,smiles_status,reported_hgpr81_ec50_uM,notes
1,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,0.023,2 is also listed as the AZ tool-compound agonist 1 only if identity is confirmed; paper does not provide CID.
2,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,0.074,2 is also listed as the AZ tool-compound agonist 1 only if identity is confirmed; paper does not provide CID.
3,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,>3.7,
4,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,1.4,
5,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,0.74 (47%),
6,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,6.1 (70%),
7,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,3.6 (70%),
8,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,7.0 (74%),
9,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,0.032,
10,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,0.013,
11,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,0.019,
12,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,0.022,
13,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,0.36,
14,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,0.56 (47%),
15,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,0.299,
16,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,0.103,
17,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,0.260,
18,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,0.769,
19,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,0.120,
20,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,0.719,
21,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,0.895,
22,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,0.166,
23,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,>16,
24,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,>33,
25,acyl_urea,Tables 1-6,figure_only_in_main_pdf,not_recovered,>33,
26,constrained_analogue,Table 7,figure_only_in_main_pdf,not_recovered,0.021,
27,constrained_analogue,Table 7,figure_only_in_main_pdf,not_recovered,0.49,
28,constrained_analogue,Table 7,figure_only_in_main_pdf,not_recovered,0.022,Pyridone/pyrimidone bioisosteres; 28 and 30 are especially potent.
29,constrained_analogue,Table 7,figure_only_in_main_pdf,not_recovered,0.075,
30,constrained_analogue,Table 7,figure_only_in_main_pdf,not_recovered,0.005,Pyridone/pyrimidone bioisosteres; 28 and 30 are especially potent.
31,constrained_analogue,Table 7,figure_only_in_main_pdf,not_recovered,0.24,
32,amide,Table 8,figure_only_in_main_pdf,not_recovered,0.41,
33,amide,Table 8,figure_only_in_main_pdf,not_recovered,0.74,
34,amide,Table 8,figure_only_in_main_pdf,not_recovered,0.11,
35,amide,Table 8,figure_only_in_main_pdf,not_recovered,0.60,
36,amide,Table 8,figure_only_in_main_pdf,not_recovered,0.16,
37,amide,Table 8,figure_only_in_main_pdf,not_recovered,0.35 / 0.27,
38,amide,Table 8,figure_only_in_main_pdf,not_recovered,0.054,Amide series; 38 is a notable potent/selective example.
39,amide,Table 8,figure_only_in_main_pdf,not_recovered,1.9,
