paper_compound_number,series,smiles,formula,calc_M_plus_H,si_M_plus_H,delta_mDa,paper_EC50_uM,status
1,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc1-n1cccn1,C26H27ClN6O5S2,603.1246,,,0.023,authoritative
2,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,C27H33ClN6O4S,573.2045,,,0.074,authoritative
3,acyl_urea,CCOc1cc(C)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,C28H36N6O4S,553.2592,553.2624,-3.25,0.0037,reconstructed_and_MS_validated
4,acyl_urea,CCOc1cc(C(F)(F)F)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,C28H33F3N6O4S,607.2309,607.233,-2.11,0.0014,reconstructed_and_MS_validated
5,acyl_urea,CCOc1cc(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc(N2CCOCC2)c1,C27H34N6O4S,539.2435,539.2452,-1.7,0.00074,reconstructed_and_MS_validated
6,acyl_urea,Cc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc1-n1cccn1,C25H25ClN6O4S2,573.114,573.117,-3.0,0.0061,reconstructed_and_MS_validated
7,acyl_urea,FC1=CC(Cl)=C(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)C=C1-n1cccn1,C24H22ClFN6O4S2,577.0889,577.09,-1.07,0.0036,reconstructed_and_MS_validated
8,acyl_urea,Clc1cc(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc(-n2cccn2)c1,C24H23ClN6O4S2,559.0984,559.0988,-0.45,0.007,reconstructed_and_MS_validated
9,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOC(C)C1,C28H35ClN6O4S,587.2202,587.2225,-2.32,0.032,reconstructed_and_MS_validated
10,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCCC1,C27H33ClN6O3S,557.2096,557.2138,-4.18,0.013,reconstructed_and_MS_validated
11,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1-n1cccn1,C26H28ClN7O3S,554.1736,554.1778,-4.23,0.019,reconstructed_and_MS_validated
12,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1-n1cccc1,C27H29ClN6O3S,553.1783,553.1797,-1.38,0.022,reconstructed_and_MS_validated
13,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1-c1cn[nH]c1,C26H28ClN7O3S,554.1736,554.1739,-0.33,0.36,reconstructed_and_MS_validated
14,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1,C23H26ClN5O3S,488.1518,488.1552,-3.43,0.56,reconstructed_and_MS_validated
15,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccccc3s2)cc1N1CCOCC1,C21H21ClN4O4S,461.1045,461.1058,-1.32,0.299,reconstructed_and_MS_validated
16,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc(-c3ccccc3)cs2)cc1N1CCOCC1,C23H23ClN4O4S,487.1201,487.1224,-2.27,0.103,reconstructed_and_MS_validated
17,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2cc3ccccc3s2)cc1N1CCOCC1,C22H22ClN3O4S,460.1092,460.112,-2.77,0.26,reconstructed_and_MS_validated
18,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2ncc(C)s2)cc1N1CCOCC1,C18H21ClN4O4S,425.1045,425.1046,-0.12,0.769,reconstructed_and_MS_validated
19,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3c(s2)CCCC3)cc1N1CCOCC1,C21H25ClN4O4S,465.1358,,,0.12,reconstructed_and_MS_validated
20,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3c(s2)CN(C(C)=O)CC3)cc1N1CCOCC1,C22H26ClN5O5S,508.1416,508.1445,-2.9,0.719,reconstructed_and_MS_validated
21,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3c(s2)CN(C(=O)CO)CC3)cc1N1CCOCC1,C22H26ClN5O6S,524.1365,524.1407,-4.19,0.895,reconstructed_and_MS_validated
22,acyl_urea,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc1N1CCOCC1,C27H32ClN5O6S2,622.1555,627.1839,-5028.37,0.166,authoritative
23,linker_variant,CCOc1cc(Cl)c(C(=O)N(C)C(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,C28H35ClN6O4S,587.2202,587.2225,-2.32,16.0,reconstructed_and_MS_validated
24,linker_variant,CCOc1cc(Cl)c(CNC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,C27H35ClN6O3S,559.2253,559.2237,1.57,33.0,reconstructed_and_MS_validated
25,linker_variant,CCOc1cc(Cl)c(NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,C26H33ClN6O3S,545.2096,545.2098,-0.18,33.0,reconstructed_and_MS_validated
26,constrained_analogue_cyclic,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cc(-c2nc3ccccc3s2)c(=O)[nH]c1,C24H22ClN3O3S,468.1143,468.1167,-2.38,0.021,reconstructed_and_MS_validated
