compound_id,receptor_id,pose_rank,score_kcal_mol,rmsd_lb,rmsd_ub,pose_file,error
AZ1_GPR81_agonist_2,8Z87,1,10.134,0.0,0.0,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z87/AZ1_GPR81_agonist_2.pdbqt,
GPR81_agonist_1,8Z87,1,-4.856,0.0,0.0,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z87/GPR81_agonist_1.pdbqt,
GPR81_agonist_1,8Z87,2,-1.93,1.93,2.861,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z87/GPR81_agonist_1.pdbqt,
CHBA,8Z87,1,-6.3,0.0,0.0,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z87/CHBA.pdbqt,
CHBA,8Z87,2,-6.091,2.668,3.998,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z87/CHBA.pdbqt,
CHBA,8Z87,3,-6.08,2.278,2.713,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z87/CHBA.pdbqt,
CHBA,8Z87,4,-5.991,1.289,3.504,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z87/CHBA.pdbqt,
CHBA,8Z87,5,-5.927,2.78,3.728,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z87/CHBA.pdbqt,
3_5_DHBA,8Z87,1,-6.443,0.0,0.0,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z87/3_5_DHBA.pdbqt,
3_5_DHBA,8Z87,2,-6.436,0.171,2.499,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z87/3_5_DHBA.pdbqt,
3_5_DHBA,8Z87,3,-6.408,1.803,2.703,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z87/3_5_DHBA.pdbqt,
3_5_DHBA,8Z87,4,-6.215,1.739,3.442,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z87/3_5_DHBA.pdbqt,
3_5_DHBA,8Z87,5,-6.149,1.764,3.316,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z87/3_5_DHBA.pdbqt,
3_OBA,8Z87,1,-4.783,0.0,0.0,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z87/3_OBA.pdbqt,
3_OBA,8Z87,2,-4.429,2.037,2.965,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z87/3_OBA.pdbqt,
3_OBA,8Z87,3,-4.421,1.79,3.593,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z87/3_OBA.pdbqt,
3_OBA,8Z87,4,-4.323,8.561,9.173,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z87/3_OBA.pdbqt,
3_OBA,8Z87,5,-4.323,1.769,2.51,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z87/3_OBA.pdbqt,
AZ1_GPR81_agonist_2,9KT9,1,-0.843,0.0,0.0,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/9KT9/AZ1_GPR81_agonist_2.pdbqt,
AZ1_GPR81_agonist_2,9KT9,2,-0.287,1.774,2.231,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/9KT9/AZ1_GPR81_agonist_2.pdbqt,
GPR81_agonist_1,9KT9,1,-4.657,0.0,0.0,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/9KT9/GPR81_agonist_1.pdbqt,
GPR81_agonist_1,9KT9,2,-4.174,10.809,14.289,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/9KT9/GPR81_agonist_1.pdbqt,
GPR81_agonist_1,9KT9,3,-3.957,3.364,8.943,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/9KT9/GPR81_agonist_1.pdbqt,
GPR81_agonist_1,9KT9,4,-3.688,10.959,14.228,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/9KT9/GPR81_agonist_1.pdbqt,
GPR81_agonist_1,9KT9,5,-3.157,4.576,8.526,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/9KT9/GPR81_agonist_1.pdbqt,
CHBA,9KT9,1,-5.908,0.0,0.0,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/9KT9/CHBA.pdbqt,
CHBA,9KT9,2,-5.582,12.401,12.704,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/9KT9/CHBA.pdbqt,
CHBA,9KT9,3,-5.512,10.101,10.866,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/9KT9/CHBA.pdbqt,
CHBA,9KT9,4,-5.443,11.885,12.199,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/9KT9/CHBA.pdbqt,
