compound_id,receptor_id,seed,pose_rank,score_kcal_mol,centroid_x,centroid_y,centroid_z
AZ1_GPR81_agonist_2,8Z87,20260803,1,10.179,97.972,123.013,128.135
AZ1_GPR81_agonist_2,8Z87,1,1,10.314,97.959,123.055,128.137
AZ1_GPR81_agonist_2,8Z87,2,1,10.097,97.981,123.055,128.178
AZ1_GPR81_agonist_2,8Z87,3,1,10.071,97.999,123.016,128.189
AZ1_GPR81_agonist_2,8Z87,4,1,10.195,97.977,123.025,128.126
AZ1_GPR81_agonist_2,8Z87,5,1,9.984,97.977,123.032,128.186
AZ1_GPR81_agonist_2,8Z87,6,1,10.131,97.984,122.988,128.187
AZ1_GPR81_agonist_2,8Z87,7,1,10.251,97.981,123.037,128.161
AZ1_GPR81_agonist_2,9KT9,20260803,1,-0.843,113.383,141.798,152.605
AZ1_GPR81_agonist_2,9KT9,20260803,2,-0.287,114.882,141.337,153.643
AZ1_GPR81_agonist_2,9KT9,1,1,2.989,114.572,132.239,143.271
AZ1_GPR81_agonist_2,9KT9,1,2,4.001,117.812,134.821,151.794
AZ1_GPR81_agonist_2,9KT9,1,3,4.507,113.759,132.382,142.546
AZ1_GPR81_agonist_2,9KT9,1,4,5.59,113.627,132.526,142.563
AZ1_GPR81_agonist_2,9KT9,2,1,4.547,117.829,134.786,151.795
AZ1_GPR81_agonist_2,9KT9,2,2,5.573,113.348,132.552,142.112
AZ1_GPR81_agonist_2,9KT9,2,3,6.164,113.628,132.523,142.589
AZ1_GPR81_agonist_2,9KT9,2,4,6.757,117.566,136.393,152.902
AZ1_GPR81_agonist_2,9KT9,2,5,6.924,114.329,132.527,142.986
AZ1_GPR81_agonist_2,9KT9,2,6,7.146,114.113,141.408,152.698
AZ1_GPR81_agonist_2,9KT9,3,1,2.877,114.307,132.425,143.079
AZ1_GPR81_agonist_2,9KT9,3,2,3.839,117.855,134.756,151.79
AZ1_GPR81_agonist_2,9KT9,3,3,4.158,113.901,141.289,153.18
AZ1_GPR81_agonist_2,9KT9,3,4,4.292,115.523,141.02,154.192
AZ1_GPR81_agonist_2,9KT9,3,5,5.352,113.621,132.535,142.601
AZ1_GPR81_agonist_2,9KT9,4,1,0.723,116.736,141.254,154.435
AZ1_GPR81_agonist_2,9KT9,5,1,3.663,114.587,132.279,143.182
AZ1_GPR81_agonist_2,9KT9,5,2,4.0,117.824,134.776,151.79
AZ1_GPR81_agonist_2,9KT9,5,3,5.624,113.606,132.528,142.56
AZ1_GPR81_agonist_2,9KT9,5,4,6.251,117.562,136.408,152.884
AZ1_GPR81_agonist_2,9KT9,6,1,-1.572,113.192,141.82,152.458
AZ1_GPR81_agonist_2,9KT9,6,2,-0.975,114.567,141.444,153.543
AZ1_GPR81_agonist_2,9KT9,7,1,3.107,114.531,132.34,143.373
AZ1_GPR81_agonist_2,9KT9,7,2,3.98,117.832,134.782,151.795
AZ1_GPR81_agonist_2,9KT9,7,3,4.481,115.499,140.864,153.778
AZ1_GPR81_agonist_2,9KT9,7,4,5.517,113.628,132.588,142.619
AZ1_GPR81_agonist_2,8Z8A,20260803,1,-3.94,105.025,131.406,128.142
AZ1_GPR81_agonist_2,8Z8A,20260803,2,-3.847,105.552,131.324,128.039
AZ1_GPR81_agonist_2,8Z8A,20260803,3,-2.999,103.845,130.902,128.283
AZ1_GPR81_agonist_2,8Z8A,20260803,4,-2.536,103.825,131.065,128.693
AZ1_GPR81_agonist_2,8Z8A,20260803,5,-2.53,104.207,130.976,128.81
AZ1_GPR81_agonist_2,8Z8A,20260803,6,-2.186,105.068,131.688,129.325
AZ1_GPR81_agonist_2,8Z8A,20260803,7,-2.094,105.579,132.006,128.882
AZ1_GPR81_agonist_2,8Z8A,20260803,8,-1.983,105.554,131.916,129.1
AZ1_GPR81_agonist_2,8Z8A,1,1,-4.294,105.116,131.713,127.986
AZ1_GPR81_agonist_2,8Z8A,1,2,-3.28,103.724,130.92,128.266
AZ1_GPR81_agonist_2,8Z8A,1,3,-2.711,103.777,131.045,128.66
AZ1_GPR81_agonist_2,8Z8A,1,4,-2.426,105.148,131.653,129.336
AZ1_GPR81_agonist_2,8Z8A,1,5,-2.37,105.626,132.036,129.036
AZ1_GPR81_agonist_2,8Z8A,1,6,-1.975,104.238,131.331,128.12
AZ1_GPR81_agonist_2,8Z8A,1,7,-1.645,104.436,130.621,127.075
AZ1_GPR81_agonist_2,8Z8A,1,8,-1.633,105.545,131.813,129.073
AZ1_GPR81_agonist_2,8Z8A,2,1,-4.094,104.948,131.525,128.137
AZ1_GPR81_agonist_2,8Z8A,2,2,-3.535,105.245,131.526,128.482
AZ1_GPR81_agonist_2,8Z8A,2,3,-3.167,103.751,130.896,128.279
AZ1_GPR81_agonist_2,8Z8A,2,4,-3.092,104.159,131.173,128.545
AZ1_GPR81_agonist_2,8Z8A,2,5,-2.318,105.597,132.038,128.943
AZ1_GPR81_agonist_2,8Z8A,3,1,-4.372,105.103,131.637,128.074
AZ1_GPR81_agonist_2,8Z8A,3,2,-4.366,105.033,131.443,128.093
AZ1_GPR81_agonist_2,8Z8A,3,3,-3.381,103.84,130.886,128.284
AZ1_GPR81_agonist_2,8Z8A,3,4,-3.012,104.284,130.728,128.842
AZ1_GPR81_agonist_2,8Z8A,3,5,-2.936,103.894,131.063,128.636
AZ1_GPR81_agonist_2,8Z8A,3,6,-2.523,105.596,132.044,128.963
AZ1_GPR81_agonist_2,8Z8A,4,1,-4.427,105.009,131.511,127.984
AZ1_GPR81_agonist_2,8Z8A,4,2,-4.378,105.113,131.206,128.359
AZ1_GPR81_agonist_2,8Z8A,4,3,-3.817,105.189,131.487,128.349
AZ1_GPR81_agonist_2,8Z8A,4,4,-3.547,104.403,130.763,128.938
AZ1_GPR81_agonist_2,8Z8A,4,5,-3.426,103.732,130.882,128.276
AZ1_GPR81_agonist_2,8Z8A,4,6,-3.305,104.084,131.212,128.635
AZ1_GPR81_agonist_2,8Z8A,4,7,-2.626,105.119,131.647,129.366
AZ1_GPR81_agonist_2,8Z8A,4,8,-2.483,105.568,132.021,128.894
AZ1_GPR81_agonist_2,8Z8A,5,1,-3.703,105.119,131.235,128.361
AZ1_GPR81_agonist_2,8Z8A,5,2,-3.313,105.263,131.519,128.42
AZ1_GPR81_agonist_2,8Z8A,5,3,-2.944,103.709,130.89,128.276
AZ1_GPR81_agonist_2,8Z8A,5,4,-2.811,104.168,131.227,128.524
AZ1_GPR81_agonist_2,8Z8A,5,5,-2.268,105.073,131.955,129.193
AZ1_GPR81_agonist_2,8Z8A,5,6,-2.092,105.54,131.969,128.92
AZ1_GPR81_agonist_2,8Z8A,5,7,-1.12,104.794,130.95,128.068
AZ1_GPR81_agonist_2,8Z8A,5,8,-1.046,105.093,130.96,126.797
AZ1_GPR81_agonist_2,8Z8A,6,1,-4.207,105.518,131.216,128.226
AZ1_GPR81_agonist_2,8Z8A,6,2,-4.091,105.022,131.554,127.974
AZ1_GPR81_agonist_2,8Z8A,6,3,-3.409,105.19,131.49,128.364
AZ1_GPR81_agonist_2,8Z8A,6,4,-3.079,103.76,130.892,128.281
AZ1_GPR81_agonist_2,8Z8A,6,5,-2.716,104.19,131.261,128.514
AZ1_GPR81_agonist_2,8Z8A,6,6,-2.296,105.102,131.702,129.297
AZ1_GPR81_agonist_2,8Z8A,6,7,-2.23,104.33,130.694,128.743
AZ1_GPR81_agonist_2,8Z8A,6,8,-2.159,105.606,132.082,129.037
AZ1_GPR81_agonist_2,8Z8A,7,1,-4.368,105.033,131.582,127.934
AZ1_GPR81_agonist_2,8Z8A,7,2,-4.329,105.196,131.364,128.091
AZ1_GPR81_agonist_2,8Z8A,7,3,-3.829,105.286,131.48,128.532
AZ1_GPR81_agonist_2,8Z8A,7,4,-3.49,104.401,130.683,128.786
AZ1_GPR81_agonist_2,8Z8A,7,5,-3.427,103.844,130.89,128.284
AZ1_GPR81_agonist_2,8Z8A,7,6,-3.294,104.344,131.065,128.615
AZ1_GPR81_agonist_2,8Z8A,7,7,-2.499,105.541,131.982,128.923
GPR81_agonist_1,8Z87,20260803,1,-4.795,101.762,134.106,133.516
GPR81_agonist_1,8Z87,20260803,2,-3.342,104.487,134.518,133.901
GPR81_agonist_1,8Z87,20260803,3,-2.0,103.836,135.167,133.0
GPR81_agonist_1,8Z87,1,1,-4.823,101.764,134.102,133.518
GPR81_agonist_1,8Z87,1,2,-3.617,104.096,134.914,133.775
GPR81_agonist_1,8Z87,1,3,-2.854,104.558,134.483,133.506
GPR81_agonist_1,8Z87,1,4,-2.524,104.269,135.464,133.224
GPR81_agonist_1,8Z87,1,5,-1.916,104.405,135.304,133.38
GPR81_agonist_1,8Z87,2,1,-4.817,101.767,134.106,133.526
GPR81_agonist_1,8Z87,2,2,-3.594,104.088,134.935,133.732
GPR81_agonist_1,8Z87,2,3,-3.068,104.672,134.443,133.503
GPR81_agonist_1,8Z87,2,4,-3.03,105.135,134.273,132.779
GPR81_agonist_1,8Z87,3,1,-4.79,101.758,134.107,133.523
GPR81_agonist_1,8Z87,3,2,-3.573,104.017,134.868,133.772
GPR81_agonist_1,8Z87,3,3,-2.078,104.044,135.568,133.504
GPR81_agonist_1,8Z87,4,1,2.318,104.848,134.614,132.487
GPR81_agonist_1,8Z87,5,1,-4.826,101.759,134.103,133.523
GPR81_agonist_1,8Z87,6,1,-4.78,101.76,134.11,133.505
GPR81_agonist_1,8Z87,6,2,-4.022,102.264,134.315,133.382
GPR81_agonist_1,8Z87,6,3,-3.452,104.557,134.503,133.867
GPR81_agonist_1,8Z87,6,4,-3.262,102.996,134.338,133.444
GPR81_agonist_1,8Z87,6,5,-2.996,105.075,134.287,132.763
GPR81_agonist_1,8Z87,6,6,-1.799,103.486,135.109,133.106
GPR81_agonist_1,8Z87,7,1,-4.784,101.763,134.107,133.513
GPR81_agonist_1,8Z87,7,2,-3.627,104.063,134.869,133.762
GPR81_agonist_1,9KT9,20260803,1,-4.657,114.203,141.668,155.247
GPR81_agonist_1,9KT9,20260803,2,-4.431,112.721,143.299,153.473
GPR81_agonist_1,9KT9,20260803,3,-4.174,118.447,132.848,148.51
GPR81_agonist_1,9KT9,20260803,4,-3.957,110.864,143.037,152.537
GPR81_agonist_1,9KT9,20260803,5,-3.685,118.122,132.619,148.23
GPR81_agonist_1,9KT9,20260803,6,-3.157,110.379,143.179,152.856
GPR81_agonist_1,9KT9,20260803,7,-2.971,118.702,132.233,148.055
GPR81_agonist_1,9KT9,20260803,8,-1.803,118.138,132.412,149.907
GPR81_agonist_1,9KT9,1,1,-5.281,110.767,142.492,152.175
GPR81_agonist_1,9KT9,1,2,-5.047,110.493,142.611,152.175
GPR81_agonist_1,9KT9,1,3,-5.043,109.555,141.961,151.793
GPR81_agonist_1,9KT9,1,4,-5.002,110.335,142.741,152.371
GPR81_agonist_1,9KT9,1,5,-4.051,118.448,132.867,148.519
GPR81_agonist_1,9KT9,1,6,-3.562,118.132,132.61,148.218
GPR81_agonist_1,9KT9,1,7,-3.514,109.984,142.705,152.426
GPR81_agonist_1,9KT9,1,8,-2.951,118.687,132.25,148.03
GPR81_agonist_1,9KT9,2,1,-4.897,113.836,142.39,152.348
GPR81_agonist_1,9KT9,2,2,-4.879,110.782,142.443,152.134
GPR81_agonist_1,9KT9,2,3,-4.743,110.57,142.307,152.183
GPR81_agonist_1,9KT9,2,4,-4.694,112.25,142.242,153.386
GPR81_agonist_1,9KT9,2,5,-4.653,113.581,142.333,154.656
GPR81_agonist_1,9KT9,2,6,-4.062,114.298,141.614,155.236
GPR81_agonist_1,9KT9,2,7,-3.679,111.512,142.371,151.424
GPR81_agonist_1,9KT9,2,8,-3.328,113.248,142.371,154.262
GPR81_agonist_1,9KT9,3,1,-4.246,118.445,132.868,148.511
GPR81_agonist_1,9KT9,3,2,-3.729,118.166,132.627,148.222
GPR81_agonist_1,9KT9,3,3,-3.155,118.696,132.246,148.038
GPR81_agonist_1,9KT9,3,4,-1.688,117.586,130.343,144.282
GPR81_agonist_1,9KT9,3,5,-1.496,118.321,131.827,147.718
GPR81_agonist_1,9KT9,4,1,-5.05,112.471,142.226,153.245
GPR81_agonist_1,9KT9,4,2,-5.04,111.541,142.164,152.335
GPR81_agonist_1,9KT9,4,3,-4.757,109.552,141.969,151.863
GPR81_agonist_1,9KT9,4,4,-4.297,110.406,142.537,151.991
GPR81_agonist_1,9KT9,4,5,-4.015,112.707,143.233,153.484
GPR81_agonist_1,9KT9,4,6,-3.971,111.39,142.763,152.929
GPR81_agonist_1,9KT9,4,7,-3.763,118.423,132.861,148.515
GPR81_agonist_1,9KT9,5,1,-5.265,111.595,142.101,152.597
GPR81_agonist_1,9KT9,5,2,-5.116,113.583,142.345,154.663
GPR81_agonist_1,9KT9,5,3,-5.098,112.098,142.222,154.058
GPR81_agonist_1,9KT9,5,4,-5.085,109.548,141.971,151.807
GPR81_agonist_1,9KT9,5,5,-4.748,113.074,142.815,153.829
GPR81_agonist_1,9KT9,5,6,-4.061,113.905,142.104,154.58
GPR81_agonist_1,9KT9,5,7,-4.047,118.439,132.842,148.514
GPR81_agonist_1,9KT9,5,8,-3.522,112.854,141.693,152.06
GPR81_agonist_1,9KT9,6,1,-5.214,111.694,142.27,152.227
GPR81_agonist_1,9KT9,6,2,-5.166,112.326,142.246,153.503
GPR81_agonist_1,9KT9,6,3,-5.018,113.557,142.341,154.666
GPR81_agonist_1,9KT9,6,4,-4.618,113.084,142.851,153.805
GPR81_agonist_1,9KT9,6,5,-4.552,110.304,142.389,151.851
GPR81_agonist_1,9KT9,6,6,-4.228,112.735,143.268,153.459
GPR81_agonist_1,9KT9,6,7,-3.979,118.455,132.86,148.532
GPR81_agonist_1,9KT9,6,8,-3.808,112.547,141.774,152.021
GPR81_agonist_1,9KT9,7,1,-5.183,111.523,142.16,152.49
GPR81_agonist_1,9KT9,7,2,-5.152,112.472,142.219,153.195
GPR81_agonist_1,9KT9,7,3,-5.151,110.774,142.434,152.176
GPR81_agonist_1,9KT9,7,4,-4.927,109.559,141.973,151.806
GPR81_agonist_1,9KT9,7,5,-4.54,110.405,142.186,151.857
GPR81_agonist_1,9KT9,7,6,-4.15,112.728,143.276,153.483
GPR81_agonist_1,9KT9,7,7,-4.007,111.459,142.347,151.463
GPR81_agonist_1,9KT9,7,8,-3.901,118.439,132.86,148.516
GPR81_agonist_1,8Z8A,20260803,1,-7.668,102.634,134.069,131.825
GPR81_agonist_1,8Z8A,20260803,2,-7.496,104.27,132.57,131.215
GPR81_agonist_1,8Z8A,20260803,3,-7.282,102.488,133.936,132.902
GPR81_agonist_1,8Z8A,20260803,4,-7.033,102.117,133.627,132.765
GPR81_agonist_1,8Z8A,20260803,5,-6.049,103.881,134.698,132.935
GPR81_agonist_1,8Z8A,20260803,6,-5.707,103.993,134.844,133.261
GPR81_agonist_1,8Z8A,20260803,7,-5.201,101.402,134.504,133.295
GPR81_agonist_1,8Z8A,1,1,-7.721,102.687,134.121,131.798
GPR81_agonist_1,8Z8A,1,2,-7.585,104.257,132.575,131.231
GPR81_agonist_1,8Z8A,1,3,-7.529,103.513,132.968,130.831
