compound_id,receptor_id,seed,pose_rank,score_kcal_mol,centroid_x,centroid_y,centroid_z
CHBA,8Z87,20260803,1,-6.301,96.71,128.197,125.032
CHBA,8Z87,20260803,2,-6.096,96.712,128.176,125.717
CHBA,8Z87,20260803,3,-6.068,97.643,127.79,125.373
CHBA,8Z87,20260803,4,-6.018,96.331,128.206,125.642
CHBA,8Z87,20260803,5,-5.966,96.202,129.067,125.497
CHBA,8Z87,20260803,6,-5.659,95.394,128.373,125.472
CHBA,8Z87,20260803,7,-5.621,98.068,127.551,124.844
CHBA,8Z87,20260803,8,-5.524,96.531,128.849,125.866
CHBA,8Z87,1,1,-6.298,96.661,128.154,125.075
CHBA,8Z87,1,2,-6.104,96.643,128.294,125.851
CHBA,8Z87,1,3,-6.057,97.642,127.996,125.432
CHBA,8Z87,1,4,-6.002,96.332,128.131,125.751
CHBA,8Z87,1,5,-5.999,96.165,129.134,125.752
CHBA,8Z87,1,6,-5.736,96.565,128.607,125.7
CHBA,8Z87,1,7,-5.633,97.969,127.588,124.967
CHBA,8Z87,1,8,-5.546,95.057,128.445,125.271
CHBA,8Z87,2,1,-6.294,96.671,128.023,125.113
CHBA,8Z87,2,2,-6.1,96.69,128.236,125.745
CHBA,8Z87,2,3,-6.068,97.662,127.881,125.431
CHBA,8Z87,2,4,-6.018,96.474,128.351,125.767
CHBA,8Z87,2,5,-5.991,96.185,129.015,125.629
CHBA,8Z87,2,6,-5.942,96.317,128.327,125.726
CHBA,8Z87,2,7,-5.703,96.443,128.654,125.639
CHBA,8Z87,2,8,-5.632,98.048,127.523,124.914
CHBA,8Z87,3,1,-6.308,96.649,128.219,125.052
CHBA,8Z87,3,2,-6.077,96.74,128.279,125.725
CHBA,8Z87,3,3,-6.07,97.618,127.881,125.351
CHBA,8Z87,3,4,-5.998,96.349,128.225,125.829
CHBA,8Z87,3,5,-5.968,96.105,128.945,125.59
CHBA,8Z87,3,6,-5.846,96.485,128.505,125.61
CHBA,8Z87,3,7,-5.608,98.124,127.591,124.797
CHBA,8Z87,3,8,-5.548,96.592,128.763,125.897
CHBA,8Z87,4,1,-6.293,96.671,128.114,125.065
CHBA,8Z87,4,2,-6.103,96.761,128.297,125.661
CHBA,8Z87,4,3,-6.07,97.592,127.948,125.408
CHBA,8Z87,4,4,-6.018,96.371,128.218,125.747
CHBA,8Z87,4,5,-6.002,96.187,129.098,125.657
CHBA,8Z87,4,6,-5.825,96.198,128.475,125.647
CHBA,8Z87,4,7,-5.547,96.576,128.719,125.883
CHBA,8Z87,4,8,-5.395,98.913,118.18,129.351
CHBA,8Z87,5,1,-6.311,96.698,128.286,125.01
CHBA,8Z87,5,2,-6.082,97.515,127.828,125.399
CHBA,8Z87,5,3,-6.082,96.674,128.188,125.86
CHBA,8Z87,5,4,-6.031,96.61,127.767,125.896
CHBA,8Z87,5,5,-5.995,96.14,129.14,125.644
CHBA,8Z87,5,6,-5.712,96.469,128.589,125.774
CHBA,8Z87,5,7,-5.633,95.414,128.413,125.546
CHBA,8Z87,5,8,-5.633,98.11,127.466,124.841
CHBA,8Z87,6,1,-6.301,96.731,128.105,124.981
CHBA,8Z87,6,2,-6.097,96.706,128.217,125.745
CHBA,8Z87,6,3,-6.071,97.617,127.909,125.265
CHBA,8Z87,6,4,-6.007,96.366,128.206,125.805
CHBA,8Z87,6,5,-6.0,96.21,129.033,125.741
CHBA,8Z87,6,6,-5.839,96.243,128.532,125.676
CHBA,8Z87,6,7,-5.619,98.122,127.409,124.888
CHBA,8Z87,6,8,-5.518,96.563,128.866,126.003
CHBA,8Z87,7,1,-6.293,96.686,128.203,125.074
CHBA,8Z87,7,2,-6.084,96.647,128.274,125.781
CHBA,8Z87,7,3,-6.07,97.582,127.78,125.372
CHBA,8Z87,7,4,-5.968,96.206,129.116,125.685
CHBA,8Z87,7,5,-5.728,96.413,128.652,125.652
CHBA,8Z87,7,6,-5.529,96.544,128.827,125.949
CHBA,8Z87,7,7,-5.503,95.277,128.535,125.217
CHBA,8Z87,7,8,-5.422,98.837,117.985,129.442
CHBA,9KT9,20260803,1,-5.897,117.861,138.429,157.381
CHBA,9KT9,20260803,2,-5.556,117.342,134.239,145.972
CHBA,9KT9,20260803,3,-5.536,119.486,132.722,149.573
CHBA,9KT9,20260803,4,-5.443,117.742,133.866,146.475
CHBA,9KT9,20260803,5,-5.432,118.97,132.734,150.134
CHBA,9KT9,20260803,6,-5.384,116.482,133.691,144.267
CHBA,9KT9,20260803,7,-5.381,115.427,132.151,144.247
CHBA,9KT9,20260803,8,-5.287,118.389,133.251,145.577
CHBA,9KT9,1,1,-5.89,117.98,138.437,157.291
CHBA,9KT9,1,2,-5.561,117.246,134.427,145.862
CHBA,9KT9,1,3,-5.456,117.823,133.89,146.451
CHBA,9KT9,1,4,-5.448,119.572,133.214,148.492
CHBA,9KT9,1,5,-5.423,118.648,133.289,150.148
