compound,receptor,seed,pose_rank,score_kcal_mol
15,8Z87,20260803,1,-4.99
15,8Z87,20260803,2,-4.919
15,8Z87,20260803,3,-3.595
15,8Z87,1,1,-5.066
15,8Z87,1,2,-4.481
15,8Z87,1,3,-3.607
15,8Z87,2,1,-4.946
15,8Z87,2,2,-4.463
15,8Z87,2,3,-4.299
15,8Z87,3,1,2.317
15,8Z87,3,2,3.466
15,8Z87,4,1,-4.983
15,8Z87,4,2,-4.421
15,8Z87,4,3,-4.346
15,8Z87,4,4,-3.739
15,8Z87,5,1,-4.991
15,8Z87,5,2,-3.126
15,8Z87,6,1,-4.942
15,8Z87,6,2,-4.494
15,8Z87,6,3,-4.29
15,8Z87,6,4,-4.068
15,8Z87,6,5,-3.67
15,8Z87,7,1,-5.064
15,8Z87,7,2,-3.652
15,8Z87,7,3,-3.229
21,8Z87,20260803,1,-3.132
21,8Z87,20260803,2,-0.449
21,8Z87,1,1,-3.076
21,8Z87,1,2,-0.431
21,8Z87,2,1,-0.911
21,8Z87,2,2,0.041
21,8Z87,3,1,-3.164
21,8Z87,3,2,-0.428
21,8Z87,4,1,-0.936
21,8Z87,4,2,-0.47
21,8Z87,4,3,0.024
21,8Z87,5,1,-0.801
21,8Z87,6,1,-3.148
21,8Z87,6,2,-0.492
21,8Z87,7,1,-3.152
21,8Z87,7,2,-0.555
22,8Z87,20260803,1,7.534
22,8Z87,1,1,11.607
22,8Z87,1,2,12.572
22,8Z87,2,1,15.66
22,8Z87,2,2,16.328
22,8Z87,3,1,7.723
22,8Z87,3,2,8.862
22,8Z87,4,1,10.523
22,8Z87,4,2,13.048
22,8Z87,5,1,9.894
22,8Z87,5,2,12.795
22,8Z87,6,1,8.971
22,8Z87,7,1,13.757
22,8Z87,7,2,13.863
22,8Z87,7,3,16.221
22,8Z87,7,4,16.6
26,8Z87,20260803,1,-3.969
26,8Z87,20260803,2,-3.962
26,8Z87,20260803,3,-2.546
26,8Z87,20260803,4,-1.953
26,8Z87,1,1,-3.504
26,8Z87,1,2,-3.463
26,8Z87,1,3,-1.674
26,8Z87,2,1,-3.364
26,8Z87,3,1,-1.583
26,8Z87,3,2,-1.048
26,8Z87,4,1,-3.36
26,8Z87,4,2,-3.28
26,8Z87,5,1,-3.477
26,8Z87,6,1,-3.541
26,8Z87,6,2,-2.868
26,8Z87,6,3,-2.214
26,8Z87,6,4,-1.341
26,8Z87,7,1,-3.893
26,8Z87,7,2,-1.278
28,8Z87,20260803,1,-3.255
28,8Z87,20260803,2,-3.022
28,8Z87,1,1,-3.306
28,8Z87,1,2,-3.172
28,8Z87,2,1,-3.293
28,8Z87,2,2,-3.122
28,8Z87,3,1,-2.683
28,8Z87,3,2,-2.661
28,8Z87,3,3,-2.47
28,8Z87,4,1,-3.277
28,8Z87,4,2,-3.136
28,8Z87,5,1,-2.906
28,8Z87,5,2,-2.844
28,8Z87,5,3,-2.541
28,8Z87,6,1,-3.243
28,8Z87,6,2,-3.028
28,8Z87,7,1,-2.877
28,8Z87,7,2,-2.696
30,8Z87,20260803,1,3.911
30,8Z87,1,1,3.322
30,8Z87,2,1,2.814
30,8Z87,3,1,3.04
30,8Z87,3,2,4.639
30,8Z87,4,1,3.324
30,8Z87,5,1,2.518
30,8Z87,5,2,2.944
30,8Z87,6,1,2.074
30,8Z87,7,1,2.136
30,8Z87,7,2,5.111
31,8Z87,20260803,1,12.829
31,8Z87,20260803,2,13.036
31,8Z87,1,1,12.754
31,8Z87,1,2,12.9
31,8Z87,2,1,14.031
31,8Z87,2,2,14.922
31,8Z87,3,1,12.743
31,8Z87,3,2,13.226
31,8Z87,4,1,21.777
31,8Z87,4,2,23.5
31,8Z87,5,1,23.647
31,8Z87,5,2,23.858
31,8Z87,5,3,24.8
31,8Z87,5,4,25.375
31,8Z87,6,1,13.127
31,8Z87,6,2,13.395
31,8Z87,6,3,16.11
31,8Z87,7,1,12.968
35,8Z87,20260803,1,2.595
35,8Z87,20260803,2,2.755
35,8Z87,1,1,2.399
35,8Z87,2,1,1.684
35,8Z87,2,2,1.885
35,8Z87,2,3,4.284
35,8Z87,3,1,1.481
35,8Z87,3,2,3.232
35,8Z87,3,3,3.276
35,8Z87,3,4,3.298
35,8Z87,4,1,2.396
