compound,receptor,seed,pose_rank,score_kcal_mol,centroid_distance_A,pose_file
CHBA,9KT9,20260803,1,-5.569,2.338,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/CHBA_9KT9_tight_seed20260803.pdbqt
CHBA,9KT9,20260803,2,-5.545,2.483,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/CHBA_9KT9_tight_seed20260803.pdbqt
CHBA,9KT9,20260803,3,-5.469,1.047,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/CHBA_9KT9_tight_seed20260803.pdbqt
CHBA,9KT9,20260803,4,-5.423,1.765,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/CHBA_9KT9_tight_seed20260803.pdbqt
CHBA,9KT9,20260803,5,-5.323,3.753,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/CHBA_9KT9_tight_seed20260803.pdbqt
CHBA,9KT9,1,1,-5.579,2.271,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/CHBA_9KT9_tight_seed1.pdbqt
CHBA,9KT9,1,2,-5.516,2.511,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/CHBA_9KT9_tight_seed1.pdbqt
CHBA,9KT9,1,3,-5.471,1.128,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/CHBA_9KT9_tight_seed1.pdbqt
CHBA,9KT9,1,4,-5.445,1.76,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/CHBA_9KT9_tight_seed1.pdbqt
CHBA,9KT9,1,5,-5.421,3.144,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/CHBA_9KT9_tight_seed1.pdbqt
CHBA,9KT9,2,1,-5.559,2.3,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/CHBA_9KT9_tight_seed2.pdbqt
CHBA,9KT9,2,2,-5.539,2.468,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/CHBA_9KT9_tight_seed2.pdbqt
CHBA,9KT9,2,3,-5.455,1.171,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/CHBA_9KT9_tight_seed2.pdbqt
CHBA,9KT9,2,4,-5.446,1.793,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/CHBA_9KT9_tight_seed2.pdbqt
CHBA,9KT9,2,5,-5.427,2.996,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/CHBA_9KT9_tight_seed2.pdbqt
3_5_DHBA,9KT9,20260803,1,-5.568,2.52,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_5_DHBA_9KT9_tight_seed20260803.pdbqt
3_5_DHBA,9KT9,20260803,2,-5.519,2.526,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_5_DHBA_9KT9_tight_seed20260803.pdbqt
3_5_DHBA,9KT9,20260803,3,-5.376,2.327,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_5_DHBA_9KT9_tight_seed20260803.pdbqt
3_5_DHBA,9KT9,20260803,4,-5.298,1.709,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_5_DHBA_9KT9_tight_seed20260803.pdbqt
3_5_DHBA,9KT9,20260803,5,-5.285,1.671,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_5_DHBA_9KT9_tight_seed20260803.pdbqt
3_5_DHBA,9KT9,1,1,-5.561,2.539,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_5_DHBA_9KT9_tight_seed1.pdbqt
3_5_DHBA,9KT9,1,2,-5.517,2.534,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_5_DHBA_9KT9_tight_seed1.pdbqt
3_5_DHBA,9KT9,1,3,-5.383,2.301,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_5_DHBA_9KT9_tight_seed1.pdbqt
3_5_DHBA,9KT9,1,4,-5.301,1.708,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_5_DHBA_9KT9_tight_seed1.pdbqt
3_5_DHBA,9KT9,1,5,-5.29,1.676,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_5_DHBA_9KT9_tight_seed1.pdbqt
3_5_DHBA,9KT9,2,1,-5.574,2.536,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_5_DHBA_9KT9_tight_seed2.pdbqt
