compound,receptor,seed,pose_rank,score_kcal_mol,pose_file
1,8Z8A,20260803,1,-5.254,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c01_8Z8A_seed20260803.pdbqt
1,8Z8A,20260803,2,-5.136,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c01_8Z8A_seed20260803.pdbqt
1,8Z8A,1,1,-5.283,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c01_8Z8A_seed1.pdbqt
1,8Z8A,1,2,-5.206,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c01_8Z8A_seed1.pdbqt
2,8Z8A,20260803,1,-4.097,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c02_8Z8A_seed20260803.pdbqt
2,8Z8A,20260803,2,-3.928,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c02_8Z8A_seed20260803.pdbqt
2,8Z8A,20260803,3,-3.64,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c02_8Z8A_seed20260803.pdbqt
2,8Z8A,20260803,4,-2.841,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c02_8Z8A_seed20260803.pdbqt
2,8Z8A,20260803,5,-2.341,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c02_8Z8A_seed20260803.pdbqt
2,8Z8A,1,1,-4.077,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c02_8Z8A_seed1.pdbqt
2,8Z8A,1,2,-3.869,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c02_8Z8A_seed1.pdbqt
2,8Z8A,1,3,-2.347,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c02_8Z8A_seed1.pdbqt
2,8Z8A,1,4,-2.219,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c02_8Z8A_seed1.pdbqt
3,8Z8A,20260803,1,-3.906,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c03_8Z8A_seed20260803.pdbqt
3,8Z8A,20260803,2,-3.682,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c03_8Z8A_seed20260803.pdbqt
3,8Z8A,20260803,3,-3.012,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c03_8Z8A_seed20260803.pdbqt
3,8Z8A,20260803,4,-2.765,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c03_8Z8A_seed20260803.pdbqt
3,8Z8A,20260803,5,-1.225,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c03_8Z8A_seed20260803.pdbqt
3,8Z8A,1,1,-5.13,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c03_8Z8A_seed1.pdbqt
3,8Z8A,1,2,-4.884,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c03_8Z8A_seed1.pdbqt
3,8Z8A,1,3,-4.189,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c03_8Z8A_seed1.pdbqt
3,8Z8A,1,4,-3.706,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c03_8Z8A_seed1.pdbqt
3,8Z8A,1,5,-3.59,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c03_8Z8A_seed1.pdbqt
4,8Z8A,20260803,1,-2.985,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c04_8Z8A_seed20260803.pdbqt
4,8Z8A,20260803,2,-2.235,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c04_8Z8A_seed20260803.pdbqt
4,8Z8A,20260803,3,-0.777,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c04_8Z8A_seed20260803.pdbqt
4,8Z8A,20260803,4,-0.036,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c04_8Z8A_seed20260803.pdbqt
4,8Z8A,1,1,-2.82,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c04_8Z8A_seed1.pdbqt
4,8Z8A,1,2,-2.352,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c04_8Z8A_seed1.pdbqt
4,8Z8A,1,3,-0.95,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c04_8Z8A_seed1.pdbqt
4,8Z8A,1,4,-0.703,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c04_8Z8A_seed1.pdbqt
5,8Z8A,20260803,1,-5.13,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c05_8Z8A_seed20260803.pdbqt
5,8Z8A,20260803,2,-4.689,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c05_8Z8A_seed20260803.pdbqt
5,8Z8A,20260803,3,-4.557,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c05_8Z8A_seed20260803.pdbqt
5,8Z8A,20260803,4,-4.118,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c05_8Z8A_seed20260803.pdbqt
5,8Z8A,20260803,5,-3.849,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c05_8Z8A_seed20260803.pdbqt
5,8Z8A,1,1,-5.602,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c05_8Z8A_seed1.pdbqt
5,8Z8A,1,2,-4.528,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c05_8Z8A_seed1.pdbqt
5,8Z8A,1,3,-4.477,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c05_8Z8A_seed1.pdbqt
5,8Z8A,1,4,-4.461,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c05_8Z8A_seed1.pdbqt
5,8Z8A,1,5,-3.731,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c05_8Z8A_seed1.pdbqt
6,8Z8A,20260803,1,-4.421,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c06_8Z8A_seed20260803.pdbqt
6,8Z8A,20260803,2,-4.218,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c06_8Z8A_seed20260803.pdbqt
6,8Z8A,20260803,3,-4.054,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c06_8Z8A_seed20260803.pdbqt
6,8Z8A,1,1,-4.443,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c06_8Z8A_seed1.pdbqt
6,8Z8A,1,2,-4.207,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c06_8Z8A_seed1.pdbqt
6,8Z8A,1,3,-4.071,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c06_8Z8A_seed1.pdbqt
6,8Z8A,1,4,-3.015,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c06_8Z8A_seed1.pdbqt
7,8Z8A,20260803,1,-8.46,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c07_8Z8A_seed20260803.pdbqt
7,8Z8A,20260803,2,-6.925,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c07_8Z8A_seed20260803.pdbqt
7,8Z8A,20260803,3,-5.954,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c07_8Z8A_seed20260803.pdbqt
7,8Z8A,1,1,-8.083,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c07_8Z8A_seed1.pdbqt
7,8Z8A,1,2,-6.257,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c07_8Z8A_seed1.pdbqt
8,8Z8A,20260803,1,-6.326,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_8Z8A_seed20260803.pdbqt
8,8Z8A,20260803,2,-6.313,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_8Z8A_seed20260803.pdbqt
8,8Z8A,20260803,3,-6.274,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_8Z8A_seed20260803.pdbqt
8,8Z8A,20260803,4,-6.256,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_8Z8A_seed20260803.pdbqt
8,8Z8A,1,1,-6.343,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_8Z8A_seed1.pdbqt
8,8Z8A,1,2,-6.285,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_8Z8A_seed1.pdbqt
8,8Z8A,1,3,-6.255,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_8Z8A_seed1.pdbqt
8,8Z8A,1,4,-6.201,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_8Z8A_seed1.pdbqt
8,8Z8A,1,5,-4.068,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_8Z8A_seed1.pdbqt
9,8Z8A,20260803,1,-4.804,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c09_8Z8A_seed20260803.pdbqt
9,8Z8A,20260803,2,-4.753,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c09_8Z8A_seed20260803.pdbqt
