paper_compound_number,series,source_table,smiles,formula,calc_M_plus_H,si_M_plus_H,delta_mDa,MW,InChIKey,EC50_uM,status,notes
1,acyl_urea,Tables 1-6,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc1-n1cccn1,C26H27ClN6O5S2,603.1246,,,603.13,ZVDDZDATCIKPCU-UHFFFAOYSA-N,0.023,authoritative,2 is also listed as the AZ tool-compound agonist 1 only if identity is confirmed; paper does not provide CID.
2,acyl_urea,Tables 1-6,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,C27H33ClN6O4S,573.2045,,,573.12,NNVMPPRFBOTMMO-UHFFFAOYSA-N,0.074,authoritative,2 is also listed as the AZ tool-compound agonist 1 only if identity is confirmed; paper does not provide CID.
3,acyl_urea,Tables 1-6,CCOc1cc(C)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,C28H36N6O4S,553.2592,553.2624,-3.25,552.7,QBPIGLSGJHKQCQ-UHFFFAOYSA-N,>3.7,reconstructed_and_MS_validated,
4,acyl_urea,Tables 1-6,CCOc1cc(C(F)(F)F)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,C28H33F3N6O4S,607.2309,607.233,-2.11,606.67,HJGGPYWWMDRAPX-UHFFFAOYSA-N,1.4,reconstructed_and_MS_validated,
5,acyl_urea,Tables 1-6,CCOc1cc(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc(N2CCOCC2)c1,C27H34N6O4S,539.2435,539.2452,-1.7,538.67,BUGDRFINGSOKDO-UHFFFAOYSA-N,0.74 (47%),reconstructed_and_MS_validated,
6,acyl_urea,Tables 1-6,Cc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc1-n1cccn1,C25H25ClN6O4S2,573.114,573.117,-3.0,573.1,HMHVCJRMBBKJSR-UHFFFAOYSA-N,6.1 (70%),reconstructed_and_MS_validated,
7,acyl_urea,Tables 1-6,FC1=CC(Cl)=C(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)C=C1-n1cccn1,C24H22ClFN6O4S2,577.0889,577.09,-1.07,577.06,REUCKKFMLPTUFH-UHFFFAOYSA-N,3.6 (70%),reconstructed_and_MS_validated,
8,acyl_urea,Tables 1-6,Clc1cc(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc(-n2cccn2)c1,C24H23ClN6O4S2,559.0984,559.0988,-0.45,559.07,LSEKBBDNXUVCTP-UHFFFAOYSA-N,7.0 (74%),reconstructed_and_MS_validated,
9,acyl_urea,Tables 1-6,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOC(C)C1,C28H35ClN6O4S,587.2202,587.2225,-2.32,587.15,OGELZENQJDICEW-UHFFFAOYSA-N,0.032,reconstructed_and_MS_validated,
10,acyl_urea,Tables 1-6,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCCC1,C27H33ClN6O3S,557.2096,557.2138,-4.18,557.12,WNWWAQFBWXVQOO-UHFFFAOYSA-N,0.013,reconstructed_and_MS_validated,
