Compound,Known_BBB,B3clf_Consensus,SwissADME_BOILED_Egg,pkCSM_BBB,pkCSM_logBB,Majority_Vote
Bivamelagon,BBB+,BBB-,BBB+,BBB+,-0.637,BBB+
Lorcaserin,BBB+,BBB+,BBB+,BBB+,0.036,BBB+
Bupropion,BBB+,BBB+,BBB+,BBB+,0.286,BBB+
Topiramate,BBB+,BBB+,BBB-,BBB-,-1.293,BBB-
Phentermine,BBB+,BBB+,BBB+,BBB+,0.205,BBB+
Orlistat,BBB-,BBB-,BBB-,BBB-,-1.034,BBB-
MK-0493,BBB+,BBB-,BBB-,BBB-,-1.727,BBB-
Celastrol,BBB+,BBB-,BBB-,BBB+,0.131,BBB-
Diazoxide,BBB-,BBB-,BBB+,BBB+,0.187,BBB+
GSK-598809,BBB+,BBB+,BBB+,BBB+,0.357,BBB+
