entry_id,boltz_region,vina_8Z8A_region,agree,ec50_nM,n_boltz_lig_atoms,boltz_contact_residues
c01,ORTHO_POCKET,MIXED,NO,23.0,40,"[71, 92, 95, 96, 99, 149, 150, 153, 167, 168, 169, 172, 174, 176, 177, 264, 267, 268]"
c02,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,74.0,39,"[2, 64, 71, 75, 92, 95, 96, 99, 149, 150, 153, 155, 167, 168, 172, 174, 176, 177, 261, 264, 267, 268]"
c03,MIXED,TM56_EXTRACELLULAR,NO,3.7,39,"[1, 4, 5, 6, 7, 18, 22, 64, 67, 68, 71, 75, 91, 92, 95, 165, 166, 167, 168, 169, 171, 251, 257, 261, 264, 268]"
c04,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,1.4,42,"[2, 3, 4, 64, 71, 75, 92, 95, 96, 99, 149, 150, 153, 155, 167, 168, 169, 172, 176, 177, 181, 261, 264, 267, 268]"
c05,ORTHO_POCKET,ORTHO_POCKET,YES,0.74,38,"[18, 67, 71, 75, 81, 88, 91, 92, 95, 96, 146, 149, 150, 165, 167, 168, 169, 177, 180, 181, 184, 261, 264, 268]"
c06,MIXED,TM56_EXTRACELLULAR,NO,6.1000000000000005,38,"[67, 70, 71, 74, 81, 87, 91, 92, 95, 96, 146, 149, 150, 165, 166, 167, 168, 169, 177, 180, 181, 184, 264, 268]"
c07,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,3.6,38,"[71, 74, 75, 81, 88, 91, 92, 95, 96, 99, 100, 146, 147, 149, 150, 165, 166, 167, 168, 169, 177, 180, 181, 184, 261, 264, 268]"
c08,MIXED,TM56_EXTRACELLULAR,NO,7.0,37,"[64, 67, 68, 70, 71, 81, 87, 88, 91, 92, 95, 149, 165, 166, 167, 168, 170, 177, 178, 181, 240, 244, 264, 268]"
c09,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,32.0,40,"[1, 64, 71, 92, 95, 96, 99, 149, 150, 153, 155, 166, 167, 168, 169, 171, 172, 177, 181, 264, 267, 268]"
c10,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,13.0,38,"[64, 71, 75, 92, 95, 96, 98, 99, 149, 150, 153, 155, 167, 168, 174, 176, 177, 180, 264, 267, 268]"
c11,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,19.0,38,"[2, 71, 75, 92, 95, 96, 149, 150, 153, 155, 167, 169, 173, 174, 176, 177, 264, 267, 268]"
c12,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,22.0,38,"[18, 67, 71, 75, 91, 92, 95, 149, 150, 153, 155, 167, 171, 176, 177, 261, 264, 268]"
c13,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,360.0,38,"[1, 2, 3, 64, 71, 75, 92, 95, 96, 98, 99, 149, 150, 153, 155, 167, 168, 171, 176, 177, 181, 264, 267, 268]"
c14,MIXED,TM56_EXTRACELLULAR,NO,560.0,33,"[64, 92, 95, 96, 98, 99, 149, 150, 153, 155, 166, 167, 169, 171, 172, 175, 177, 264, 267, 268]"
c15,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,299.0,31,"[67, 70, 71, 81, 91, 92, 95, 96, 99, 149, 150, 165, 166, 167, 169, 170, 178, 181, 240, 264, 268]"
c16,MIXED,TM56_EXTRACELLULAR,NO,103.0,33,"[67, 71, 81, 91, 92, 95, 96, 146, 147, 149, 150, 165, 166, 167, 168, 169, 177, 178, 181, 184, 240, 260, 264, 268]"
c17,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,260.0,31,"[67, 70, 71, 81, 91, 92, 95, 165, 166, 167, 168, 169, 181, 240, 243, 251, 257, 260, 261, 264, 268]"
c18,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,769.0,28,"[71, 74, 75, 92, 95, 96, 149, 167, 168, 174, 177, 178, 180, 181, 240, 264, 268]"
c19,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,120.0,31,"[1, 64, 67, 71, 91, 92, 95, 165, 166, 167, 168, 178, 240, 257, 260, 261, 264, 268]"
c20,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,719.0,34,"[71, 75, 92, 95, 96, 99, 100, 104, 142, 143, 146, 147, 149, 150, 167, 168, 169, 177, 180, 181, 183, 184, 264, 268]"
c21,MIXED,TM56_EXTRACELLULAR,NO,895.0,35,"[71, 92, 95, 96, 99, 100, 104, 142, 143, 146, 147, 149, 150, 165, 166, 167, 169, 177, 180, 181, 183, 184, 264, 268]"
c22,MIXED,MIXED,YES,166.0,41,"[18, 22, 67, 71, 75, 91, 92, 95, 96, 145, 146, 149, 150, 167, 169, 176, 177, 180, 181, 184, 261, 264, 268]"
c23,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,16000.0,40,"[3, 4, 64, 71, 75, 92, 95, 96, 99, 149, 150, 153, 155, 167, 168, 169, 171, 173, 177, 264, 267, 268]"
c24,MIXED,TM56_EXTRACELLULAR,NO,33000.0,38,"[4, 5, 92, 95, 96, 99, 149, 150, 153, 154, 155, 156, 167, 168, 169, 172, 173, 174, 177, 180, 181, 184, 267]"
c25,ORTHO_POCKET,MIXED,NO,33000.0,37,"[1, 4, 5, 71, 92, 95, 96, 99, 149, 150, 153, 155, 167, 168, 169, 171, 177, 264, 267, 268]"
c26,MIXED,TM56_EXTRACELLULAR,NO,21.0,32,"[1, 67, 71, 91, 92, 95, 96, 99, 149, 150, 166, 167, 169, 177, 181, 184, 264, 267]"
c27,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,490.0,32,"[8, 67, 70, 71, 75, 81, 91, 92, 95, 165, 166, 167, 169, 170, 171, 260, 261, 264, 268]"
c28,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,22.0,36,"[71, 92, 95, 96, 99, 100, 142, 146, 147, 149, 167, 169, 170, 176, 177, 180, 181, 184, 264, 268]"
c29,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,75.0,37,"[71, 75, 92, 95, 96, 146, 147, 149, 150, 165, 166, 167, 168, 176, 177, 178, 179, 180, 181, 240, 260, 261, 264, 268]"
c30,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,5.0,42,"[71, 75, 92, 95, 96, 99, 100, 142, 143, 146, 147, 149, 150, 165, 166, 167, 169, 170, 176, 177, 180, 184, 261, 264, 268]"
c31,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,240.0,42,"[18, 22, 64, 67, 68, 71, 75, 92, 95, 96, 99, 146, 147, 149, 150, 166, 167, 168, 169, 170, 177, 180, 181, 184, 261, 264, 268]"
c32,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,410.0,36,"[4, 5, 71, 92, 95, 96, 99, 149, 150, 153, 155, 166, 167, 168, 169, 171, 173, 174, 177, 264, 267, 268]"
c33,MIXED,ORTHO_POCKET,NO,740.0,38,"[4, 5, 6, 92, 95, 96, 99, 149, 150, 153, 154, 155, 156, 166, 167, 168, 169, 171, 172, 177, 180, 181, 184, 264, 268]"
c34,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,110.0,36,"[18, 67, 71, 75, 91, 92, 95, 96, 146, 147, 149, 150, 167, 168, 169, 170, 177, 180, 184, 261, 264, 268]"
c35,MIXED,ORTHO_POCKET,NO,600.0,41,"[28, 31, 32, 35, 36, 39, 40, 43, 44, 46, 51, 275, 276, 278, 279, 284, 285, 288, 289, 331, 334, 335, 336, 337]"
c36,MIXED,ORTHO_POCKET,NO,160.0,42,"[4, 6, 96, 100, 104, 139, 142, 143, 146, 147, 149, 150, 153, 154, 155, 157, 168, 171, 172, 177, 178, 180, 181, 183, 184, 187, 188]"
c37,MIXED,ORTHO_POCKET,NO,350.0,43,"[18, 22, 71, 75, 92, 95, 96, 99, 100, 104, 142, 143, 146, 147, 149, 150, 166, 167, 168, 169, 177, 180, 181, 183, 184, 261, 264, 268]"
c38,MIXED,ORTHO_POCKET,NO,54.0,43,"[18, 22, 71, 75, 92, 95, 96, 99, 100, 104, 143, 146, 147, 149, 150, 166, 167, 168, 176, 177, 180, 181, 183, 184, 187, 240, 261, 264, 268]"
c39,ORTHO_POCKET,TM56_EXTRACELLULAR,NO,1900.0,28,"[1, 67, 71, 75, 81, 88, 91, 92, 95, 165, 166, 167, 169, 170, 181, 257, 260, 261, 264, 268]"
lac,ORTHO_POCKET,ORTHO_POCKET (co-crystal),NO,,6,"[71, 74, 75, 92, 95, 166, 167, 264, 268]"
t01,MIXED,,n/a,23.0,40,"[1, 2, 3, 18, 22, 67, 71, 75, 91, 92, 95, 149, 166, 167, 168, 170, 174, 175, 177, 178, 240, 244, 261, 264, 268]"
t02,MIXED,,n/a,50.0,30,"[95, 96, 99, 100, 142, 143, 146, 147, 149, 150, 155, 168, 169, 170, 177, 180, 181, 184, 264]"
t03,ORTHO_POCKET,,n/a,,11,"[71, 75, 92, 95, 166, 167, 168, 261, 264, 268]"
t04,ORTHO_POCKET,,n/a,,11,"[71, 75, 92, 95, 166, 167, 168, 177, 261, 268]"
t05,ORTHO_POCKET,,n/a,,7,"[18, 71, 75, 92, 95, 166, 167, 168, 169, 261, 264, 268]"
