pair_id,entry_id,name,series,receptor,role,smiles,best_score_kcal_mol,protocol,region,pose_centroid_to_cocrystal_A,n_polar_contacts,polar_contacts,n_hydrophobic_contacts,hydrophobic_residues,ec50_nM,emax_pct,gpr109a_fold,ghsr_fold,lle,best_pose_file,_pose_files
c01_8Z8A,c01,Davidsson 2020 compound 1,acyl_urea,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc1-n1cccn1,-5.283,"phase6: 24A box, 2 seeds x ex16 x 5 poses",MIXED,9.6,4,GLU153OE1-O 2.7A; ARG99NH2-O 3.1A; HIS177ND1-O 3.3A; HIS177NE2-N 3.4A,49,149; 150; 155; 167; 168; 170; 177; 180; 181; 6; 92; 95; 96; 99,23.0,,5.3,0.3,4.6,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c01_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c01_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c01_8Z8A_seed20260803.pdbqt']"
c02_8Z8A,c02,Davidsson 2020 compound 2,acyl_urea,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,-4.097,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,9.44,7,GLU153OE1-O 2.7A; HIS155ND1-O 3.0A; ASN174ND2-O 3.0A; HIS177NE2-N 3.2A; SER167O-O 3.2A; ASN174OD1-O 3.2A; GLU184OE1-N 3.4A,47,100; 150; 155; 157; 167; 168; 170; 174; 177; 180; 184; 92; 96,74.0,,29,1.3,4.2,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c02_8Z8A_seed20260803.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c02_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c02_8Z8A_seed20260803.pdbqt']"
c03_8Z8A,c03,Davidsson 2020 compound 3,acyl_urea,8Z8A,paper series,CCOc1cc(C)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,-5.13,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,11.89,8,GLU153OE1-O 2.8A; MET170O-N 3.0A; GLU166O-O 3.0A; HIS155ND1-O 3.0A; CYS6N-N 3.0A; GLU153OE2-O 3.0A; ARG79NH2-N 3.4A; GLU166OE1-N 3.4A,32,149; 153; 155; 164; 166; 167; 170; 174; 6; 7; 79; 9,3.7,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c03_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c03_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c03_8Z8A_seed20260803.pdbqt']"
c04_8Z8A,c04,Davidsson 2020 compound 4,acyl_urea,8Z8A,paper series,CCOc1cc(C(F)(F)F)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,-2.985,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,10.94,4,CYS6N-O 2.7A; GLU153OE1-O 2.9A; HIS155ND1-N 3.2A; TYR149OH-N 3.4A,56,149; 150; 155; 157; 167; 168; 170; 177; 180; 181; 184; 6; 96; 99,1.4,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c04_8Z8A_seed20260803.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c04_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c04_8Z8A_seed20260803.pdbqt']"
c05_8Z8A,c05,Davidsson 2020 compound 5,acyl_urea,8Z8A,paper series,CCOc1cc(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc(N2CCOCC2)c1,-5.602,"phase6: 24A box, 2 seeds x ex16 x 5 poses",ORTHO_POCKET,8.93,5,GLU184OE2-O 2.8A; GLU184OE1-O 2.9A; SER167OG-O 2.9A; GLU153OE1-O 3.0A; TYR149OH-O 3.1A,44,149; 150; 153; 155; 167; 168; 177; 180; 181; 184; 92; 95; 96; 99,0.74,47,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c05_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c05_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c05_8Z8A_seed20260803.pdbqt']"
c06_8Z8A,c06,Davidsson 2020 compound 6,acyl_urea,8Z8A,paper series,Cc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc1-n1cccn1,-4.443,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,10.38,6,GLU153OE1-O 2.7A; ASN174ND2-O 3.0A; ARG99NH2-N 3.0A; HIS177ND1-O 3.1A; HIS177NE2-N 3.4A; GLU153OE2-O 3.5A,48,150; 153; 155; 167; 168; 170; 171; 177; 180; 92; 96; 99,6.1000000000000005,70,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c06_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c06_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c06_8Z8A_seed20260803.pdbqt']"
c07_8Z8A,c07,Davidsson 2020 compound 7,acyl_urea,8Z8A,paper series,FC1=CC(Cl)=C(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)C=C1-n1cccn1,-8.46,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,12.23,6,SER164OG-N 2.9A; ASN154O-O 3.0A; HIS155O-N 3.2A; ILE169O-O 3.2A; GLU153OE1-N 3.4A; ASN174O-N 3.4A,26,153; 157; 164; 166; 169; 170; 174; 7; 9,3.6,70,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c07_8Z8A_seed20260803.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c07_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c07_8Z8A_seed20260803.pdbqt']"
c08_8Z8A,c08,Davidsson 2020 compound 8,acyl_urea,8Z8A,paper series,Clc1cc(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc(-n2cccn2)c1,-6.343,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,9.44,7,SER167OG-N 2.8A; ARG99NH2-N 2.9A; GLU153OE1-O 3.1A; TYR149OH-O 3.1A; ASN154O-N 3.3A; HIS177NE2-O 3.4A; HIS155ND1-O 3.4A,40,149; 150; 154; 155; 167; 168; 170; 174; 177; 180; 92; 95; 96,7.0,74,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_8Z8A_seed20260803.pdbqt']"
c09_8Z8A,c09,Davidsson 2020 compound 9,acyl_urea,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOC(C)C1,-4.804,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,10.63,4,GLU153OE2-O 3.0A; GLU153OE1-O 3.1A; ASN174O-O 3.2A; SER164OG-N 3.4A,58,149; 150; 153; 155; 157; 164; 166; 167; 170; 174; 177; 6; 7; 79; 8; 9,32.0,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c09_8Z8A_seed20260803.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c09_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c09_8Z8A_seed20260803.pdbqt']"
c10_8Z8A,c10,Davidsson 2020 compound 10,acyl_urea,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCCC1,-6.687,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,11.87,7,GLU153OE1-O 2.7A; GLU166OE1-N 3.0A; CYS6N-N 3.1A; GLU153OE2-O 3.1A; MET170O-N 3.1A; SER164OG-N 3.4A; CYS7O-N 3.5A,26,149; 153; 155; 164; 166; 167; 170; 174; 6; 7; 8; 9,13.0,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_8Z8A_seed20260803.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_8Z8A_seed20260803.pdbqt']"
